Prices,Predict value,Status,IN&DEC
31526.9,31517.45,0,0.0
31504.74,31511.095,neutral,12.709999999999127
31492.55,31501.822500000002,Buy,18.54500000000189
31498.11,31499.96625,neutral,3.712500000001455
31545.51,31522.738125,sell,-45.54374999999709
31509.14,31515.9390625,neutral,13.598125000000437
31549.74,31532.83953125,sell,-33.800937500000146
31514.84,31523.839765625,Buy,17.999531249999563
31518.7,31521.2698828125,neutral,5.139765625001019
31498.55,31509.90994140625,Buy,22.719882812500146
31474.74,31492.32497070313,Buy,35.16994140624956
31506.87,31499.597485351565,neutral,-14.54502929687078
31479.6,31489.598742675782,Buy,19.997485351566866
31492.33,31490.96437133789,neutral,-2.7312573242197686
31455.34,31473.152185668943,Buy,35.6243713378899
31448.18,31460.66609283447,Buy,24.972185668942984
31463.81,31462.23804641724,neutral,-3.1439071655295265
31420.39,31441.31402320862,Buy,41.84804641723895
31373.73,31407.52201160431,Buy,67.58402320861933
31378.43,31392.976005802157,Buy,29.092011604308937
31400.11,31396.54300290108,neutral,-7.133994197844004
31394.99,31395.76650145054,neutral,1.5530029010769795
31367.29,31381.52825072527,Buy,28.476501450539217
31390.92,31386.224125362634,neutral,-9.391749274727772
31345.51,31365.86706268132,Buy,40.71412536263597
31349.69,31357.778531340657,Buy,16.177062681319512
31313.32,31335.549265670328,Buy,44.45853134065692
31330.94,31333.244632835165,neutral,4.609265670329478
31361.64,31347.442316417582,sell,-28.39536716483417
31334.15,31340.796158208792,neutral,13.292316417580878
31326.41,31333.603079104396,neutral,14.38615820879204
31413.29,31373.4465395522,sell,-79.686920895605
31353.61,31363.5282697761,Buy,19.83653955219779
31368.46,31365.99413488805,neutral,-4.931730223899649
31366.81,31366.402067444025,neutral,-0.8158651119520073
31354.35,31360.376033722012,neutral,12.052067444026761
31353.99,31357.183016861007,neutral,6.386033722010325
31341.39,31349.2865084305,Buy,15.793016861007345
31344.82,31347.05325421525,neutral,4.4665084305015625
31335.93,31341.491627107625,neutral,11.1232542152502
31276.22,31308.85581355381,Buy,65.27162710762423
31301.85,31305.352906776905,neutral,7.005813553812914
31227.03,31266.191453388452,Buy,78.32290677690617
31202.38,31234.285726694226,Buy,63.8114533884509
31189.89,31212.087863347115,Buy,44.39572669422705
31239.47,31225.778931673558,sell,-27.382136652886402
31256.97,31241.37446583678,sell,-31.1910683264432
31262.93,31252.15223291839,sell,-21.555534163220727
31274.1,31263.126116459192,sell,-21.947767081608617
31271.67,31267.398058229595,neutral,-8.543883540805837
31282.16,31274.779029114798,neutral,-14.761941770404519
31305.25,31290.0145145574,sell,-30.470970885202405
31380.9,31335.4572572787,sell,-90.88548544260266
31437.37,31386.413628639348,sell,-101.91274272129886
31424.22,31405.316814319674,sell,-37.80637136065343
31462.13,31433.723407159836,sell,-56.81318568032657
31465.45,31449.586703579917,sell,-31.726592840164813
31321.54,31385.56335178996,Buy,128.04670357991563
31299.43,31342.49667589498,Buy,86.1333517899584
31394.13,31368.31333794749,sell,-51.63332410501971
31574.12,31471.216668973742,sell,-205.80666205250964
31468.79,31470.00333448687,neutral,2.426668973741471
31500.57,31485.286667243436,sell,-30.5666655131281
31470.01,31477.648333621717,Buy,15.27666724343726
31470.22,31473.93416681086,neutral,7.428333621715865
31495.69,31484.812083405428,sell,-21.755833189137775
31490.69,31487.751041702715,neutral,-5.877916594570706
31540.61,31514.180520851358,sell,-52.858958297285426
31543.78,31528.980260425677,sell,-29.599479148640967
31610.95,31569.96513021284,sell,-81.9697395743242
31592.29,31581.12756510642,sell,-22.324869787160424
31699.77,31640.448782553212,sell,-118.64243489357978
31700.0,31670.224391276606,sell,-59.55121744678763
31636.14,31653.182195638303,Buy,34.084391276606766
31593.66,31623.42109781915,Buy,59.52219563830295
31562.83,31593.12554890958,Buy,60.59109781914958
31527.04,31560.08277445479,Buy,66.08554890957748
31545.91,31552.996387227395,neutral,14.17277445478976
31558.04,31555.518193613698,neutral,-5.043612772606139
31600.35,31577.93409680685,sell,-44.83180638630074
31490.01,31533.972048403426,Buy,87.9240968068516
31530.01,31531.991024201714,neutral,3.962048403427616
31528.64,31530.315512100857,neutral,3.3510242017146084
31518.88,31524.59775605043,neutral,11.435512100855703
